Topic,Question,Answer
Biology,Phagocytes and lymphocytes are examples of what type of blood cell?,White blood cell
Biology,The heart is a part of what bodily system?,Circulatory System
Biology,The part of a cell that contains the cell's DNA is called what?,Nucleus
Biology,"The process by which animals ""breathe"" is called what?",Respiration
Biology,True or false: only female mosquitoes bite.,True
Biology,What illness accounted for 40% of US military casualties during World War I?,Influenza
Biology,"What is the ""powerhouse"" of the cell?",Mitochondria
Biology,What is the most common element in the human body?,Oxygen
Biology,What is the name for a virus that infects (and subsequently kills) a bacteria?,(Bacterio)phage
Biology,What is the name of the fluid inside an animal cell?,Cytoplasm
Biology,What is the scientific term for the production of light by living organisms?,Bioluminescence
Biology,What type of skeleton do most vertebrae and humans have?,Endoskeleton
Biology,"Where in the human body are the ""anvil"" and ""stirrups"" located?",Ear
Biology,"Where is the smallest bone, the stapes, located in the human body?",(Middle) ear
Biology,Which organ is responsible for critical thinking?,Brain
Biology,Which part of the human eye contains receptors that detect light?,Retina
Biology,Who discovered <em>penicillin</em>?,(Sir) (Alexander) Fleming
Biology,With what process do living creatures make more of themselves?,Reproduction
Chemistry,"""Dihydrogen monoxide"" is also known as what?",Water
Chemistry,"""Sodium Bicarbonate"" is the chemical name of which common baking ingredient?",Baking Soda
Chemistry,Count Alessandro Volta is credited with the creation of what commonplace item?,Battery
Chemistry,Fill in the blank: the H<sub>3</sub>O<sup>+</sup> ion is called the  _________ ion.,Hydronium
Chemistry,How many carbon atoms does a molecule of butylene (or butene) contain?,4 carbon atoms
Chemistry,"In chemistry, what does ""K<sub>sp</sub>"" mean?",Solubility of solid substance / Solubility product constant
Chemistry,Name two of the three metals that are definitely liquid at 30°C.,"Mercury, Gallium, and Caesium"
Chemistry,"The chemical symbol ""Hg"" stands for which element?",Mercury
Chemistry,"The chemical symbol ""Pb"" stands for which element?",Lead
Chemistry,What element did Marie Curie discover?,Radium
Chemistry,What is <em>plumbum</em>?,Lead (Pb)
Chemistry,What is another name for petroleum?,(Crude) Oil
Chemistry,"What is another name for the H<sup>+</sup> ion (other than ""hydrogen ion"")?",Proton
Chemistry,What is the chemical name of a molecule with the chemical formula CH<sub>3</sub>CHOHCH<sub>3</sub>?,"Isopropyl alcohol, propan-2-ol, isopropanol, or 2-propanol"
Chemistry,What is the chemical symbol for Barium?,Ba
Chemistry,What is the chemical symbol for Caesium?,Cs
Chemistry,What is the chemical symbol of Yttrium?,Y
Chemistry,What is the hardest rock?,Diamond
Chemistry,What is the lightest element?,Hydrogen
Chemistry,"What is the name of the long tube of glass, usually marked in 0.1 millilitre units, that's equipped with a stopcock?",Burette
Chemistry,What is the only letter that does not appear in the periodic table?,J
Chemistry,What is the SI unit for temperature?,Kelvin
Chemistry,What scale is used to specify the acidity or basicity of an aqueous solution?,pH scale
Chemistry,"What state does ""(aq)"" represent in a chemical equation?",Aqueous
Chemistry,What type of particle motion did botanist Robert Brown first describe in 1827 which now bears his name?,Brownian Motion
Chemistry,What word describes the use of electricity to break down a chemical compound?,Electrolysis
Chemistry,Which chemical causes the burning taste sensation when eating chillies?,Capsaicin
Chemistry,Which commonly used liquid has a pH of around 7?,Water
Chemistry,"Which noble gas has the letter ""A"" as its first letter?",Argon
Chemistry,"With a melting point of about 97.7 °C, this reactive metal is highly malleable and silver in colour. What is it?",Sodium
Geography,How many degrees of latitude are there?,180 degrees
Geography,How many degrees of longitude are there?,360 degrees
Geography,How many timezones does Australia have?,3 timezones
Geography,"In 2019, which country had the largest population?",China
Geography,"In the US, what does the ""DC"" stand for in Washington DC?",District of Columbia
Geography,Llanfairpwllgwyngyll is a town in which country?,Wales
Geography,"More commonly known as thunderclouds, what is the only cloud type that can produce hail, thunder and lightning?",Cumulonimbus
Geography,Name <b>two</b> countries which do not have a oblong flag.,"Nepal, Switzerland, Vatican City"
Geography,The Nile river flows out to sea from which African country?,Egypt
Geography,The Yangtze River is in which country?,China
Geography,What colors are on the Norwegian flag?,"Red, white, and blue"
Geography,What continent are penguins mainly found on?,Antarctica
Geography,"What continent is located at 90°S, 0°E?",Antarctica
Geography,What is Earth's largest continent (by land mass)?,Asia
Geography,What is the <em>de facto</em> capital of Switzerland?,Bern
Geography,What is the largest country (by land mass)?,Russia
Geography,What is the name of the country in South America which looks like a long tail?,Chile
Geography,What is the name of the smallest country in the world?,Vatican City
Geography,What is the primary rainforest in South America?,The Amazon Rainforest
Geography,What is the smallest continent on Earth?,Australia
Geography,What is the world's <b>second</b> highest mountain?,K2
Geography,What is the world's <b>second</b> largest ocean?,Atlantic
Geography,What is the world's largest island (that is <b>not</b> a continent)?,Greenland
Geography,What is the world's largest ocean?,Pacific
Geography,What is the world's largest rainforest?,The Amazon Rainforest
Geography,What is the world's smallest country?,Vatican City
Geography,"What region is also known as ""Chinese Taipei""?",Taiwan
Geography,What type of rock is formed at fissures on the ocean floor?,Basaltic Rock / Igneous Rock
Geography,What used to be the capital of West Germany?,Bonn
Geography,Zurich is the largest city in what country?,Switzerland
History,<em>Game of Thrones</em> was inspired by which historical war?,War of the Roses
History,"By 1992, what had happened to the Soviet Union?",It was dissolved / It collapsed
History,Cleopatra VII was a legendary ruler of which ancient empire?,Egypt
History,Fill in the blank: the Greek writer Herodotus is credited as being the father of _______.,History
History,How long did the <em>Hundred Years' War</em> actually last?,116 years
History,In what year did the War in Afghanistan (by the United States) start?,2001
History,"In which country is the ""Bay of Pigs""?",Cuba
History,In which major global conflict were tanks first used?,World War 1
History,In which month did the <em>February Bourgeois Democratic Revolution</em> occur in Russia in 1917?,March
History,In which month did the <em>Great October Socialist Revolution</em> occur in Russia in 1917?,November
History,In which year did Sir Standford Raffles first land in Singapore?,1819
History,"Julius Caesar was assassinated on 15 March 44 BC, a date now often known by what term?",The Ides of March
History,Name <b>two</b> counties who were the chief allied powers.,"Britain, France, Soviet Union, United States, China"
History,Name a country that was in the tripartite pact.,"Germany, Italy, Japan"
History,Nelson Mandela served as the first president of South America. When did his term end?,(16 June) 1999
History,On what year did the Berlin Wall go down?,1989
History,"One of the ancient world wonders, <em>The Hanging Gardens</em>, was found in which city?",Babylon
History,The Statue of Liberty was given to the United States by which country?,France
History,"What did Abraham Lincoln mean when he said ""four score and seven years ago""?",87 years ago
History,What famous ship sunk in 1912 after colliding with an iceberg?,(RMS) Titanic
History,"What famous writer, poet, and playwright was born in 1564?",(William) Shakespeare
History,"What is another name for ""Operation Overlord""?",D-Day / Normandy Invasion
History,What significant world event ended in 1945?,World War 2
History,What significant world event started in 1914? ,World War 1
History,"When did the 9/11 attacks occur? Give the year, month and day.",11th September 2001
History,"Which King Henry is known for his six wives whose fates were ""divorced, beheaded, died, divorced, beheaded, survived""?",King Henry VII
History,Who is best known for the independence of India from the British?,(Mohandas Karamchand) Gandhi
History,"Who is credited for being the namesake of ""teddy bears"" and for being the 26th president of the United States?",Theodore Roosevelt Jr. / Teddy Roosevelt
History,Who is the first president of the United States?,George Washington
History,Who was the first woman to win a Nobel Prize?,Marie Curie
Language,"""FBI"", ""GST"", ""ISO"" and ""BBC"" are examples of what?",Initialisms
Language,"""It has been a very trying day."" What is the meaning of ""trying"" in this context?",Difficult or annoying; hard to endure
Language,"""NASA"", ""SCUBA"", ""LIFO"", and ""ASAP"" are examples of what?",Acronyms
Language,"""Rendezvous"" is a loan word from which language?",French
Language,"""The weather is currently bucketing down."" What does ""bucketing down"" mean in this sentence?",Raining
Language,"Fill in the blank: the collective name for a group of crows is ""a ______ of crows"".",Murder
Language,"Fill in the blank: the collective name for a group of owls is ""a __________ of owls"".",Parliament
Language,"From the 17th century to the early 20th century, a ""person who computes"" is called a what?",Computer
Language,"Give a plural form of ""cactus"".",Cacti / Cactuses
Language,How many letters are there in the English alphabet?,26 letters
Language,"In linguistics, what does ""IPA"" stand for?",International Phonetic Alphabet
Language,"Pronounce ""/ˈsaɪ.əns/"".",Science
Language,"Pronounce the word ""epitome"" <b>correctly</b>.",uh·pi·tuh·mee
Language,"Spell out the plural of ""basis"".",Bases
Language,"The French word for payment, <em>alouance</em>, created which English word?",Allowance
Language,"The words ""assassinate"", ""bandit"", ""critic"" and ""dauntless"" were created by which famous writer/poet/playwright?",(William) Shakespeare
Language,What do you call a person who can speak multiple languages?,Polyglot
Language,"What does the acronym ""SCUBA"" (as in ""scuba gear"") stand for?",Self-Contained Underwater Breathing Apparatus
Language,What does the prefix <em>neo-</em> mean (as in <em>neo</em>natal)?,New
Language,What does the prefix <em>pseudo-</em> mean (as in <em>pseudo</em>science)?,False / Not genuine
Language,What is the <b>fifth</b> letter in the Greek alphabet?,Epsilon
Language,"What is the technical name for the ""ə"" character in the International Phonetic Alphabet?",Schwa
Language,"What object has an acronym which stands for ""Light Amplification by Stimulated Emission of Radiation""?",A Laser
Language,"What term refers to ""special expressions or words used by profession that are difficult for others to understand""?",Jargon
Language,Which continent has the most languages?,Asia
Language,Which letter in the English alphabet is the <b>only</b> letter which is read with 3 syllables?,W
Language,Which system of notation is commonly used as a standardised representation of speech sounds in written form?,International Phonetic Alphabet [IPA]
Language,"Which two greek letters forms ""alphabet""?",Alpha and Beta
Language,Who wrote Romeo and Juliet?,(William) Shakespeare
Language,Who wrote the poem <em>The Road Not Taken</em>?,Robert Frost
Mathematics,"""You can't comb the hair on a coconut"" is the result of what mathematical theorem?",Hairy Ball Theorem
Mathematics,An improper fraction is always <b>greater</b> than what number?,1
Mathematics,Estimate the value of e (Euler's Constant) correct to 15 decimal places.,2.718281828459045
Mathematics,Fill in the blank: <var>V</var> - <var>E</var> + <var>F</var> = 2 is known as _____'s polyhedron formula.,Euler
Mathematics,Fill in the blank: a Tesseract is an example of a ____-dimensional object.,Four
Mathematics,"Fill in the blank: the first few __________ numbers are 1, 3, 6, 10, 15, 21, and 28.",Triangular / Triangle
Mathematics,How many equal sides does an icosahedron have?,20 sides
Mathematics,How many sides does a nonagon have?,9 sides
Mathematics,Mathematician Lewis Carroll wrote which famous book?,Alice in Wonderland
Mathematics,"Name the branch of mathematics ""devoted primarily to the study of the integers and integer-valued functions"".",Number Theory
Mathematics,The <em>Seven Bridges of Königsberg</em> problem is the catalyst for the creation of which mathematical field?,Graph Theory
Mathematics,The <em>two policemen (and a drunk) theorem</em> is also known as what theorem?,Squeeze Theorem
Mathematics,"The numbers 1, 4, 9, 16, 25, 36 and 49 are examples of what kind of number?",Perfect Squares / Square Numbers
Mathematics,"What <b>specific</b> type of number are the real numbers e, π, √2, and ln(2)?",Transcendental
Mathematics,What are the first four terms of the Fibonacci sequence (starting from 1)?,"1, 1, 2 and 3"
Mathematics,What are the only prime numbers that end in 2 and 5?,2 and 5 only
Mathematics,"What comes next: million, billion, trillion...?",Quadrillion
Mathematics,What field of analysis deals with <em>Supremum</em>s and <em>Infimum</em>s?,Real Analysis
Mathematics,What is the mathematical name of the division bar in a fraction (e.g. ⅓)?,Vinculum
Mathematics,What is the name of a line that intersects a circle at exactly <b>two</b> points?,Secant
Mathematics,What is the next prime number after 19?,23
Mathematics,What is the only integer that has the same number of letters as it’s meaning?,The number 4 (four)
Mathematics,"What is the only prime number that doesn't have the letter ""e"" in its name?",2
Mathematics,"What mathematical field is literally translated as ""small-product-distribution-study"" in Chinese?",Calculus (微积分学)
Mathematics,"What number does the roman numerals ""XVI"" represent?",16
Mathematics,"Which mathematical area was once called <em>al-jabr</em> in Arabic and literally means ""reunion of broken parts""?",Algebra
Mathematics,Which mathematician created the cartesian axes?,(René) Descartes
Mathematics,Which non-negative integer doesn't have its own roman numeral?,0
Mathematics,Which three regular polygons are able to tessellate a plane?,"Equilateral triangles, squares, regular hexagons"
Mathematics,Who is attributed as defining the greek letter π as the ratio of a circle's radius to its perimeter?,Euler
Other,"32.3078°N, 64.7505°W. 25.7617°N, 80.1918°W. 18.4655°N, 66.1057°W.<br>What's missing?",Planes/Ships. (Coordinates are the Bermuda triangle)
Other,"A face mask that met the NIOSH standard of ""N95"" means that it can filter what percentage of airborne particles?",95 percent
Other,"Fill in the missing word in this famous quote: ""The problem with political jokes is that they get _______"".",Elected
Other,How many cards are there in a standard deck of playing cards (excluding jokers)?,52 cards
Other,"I contain appearances by Shakespearean characters, 4 other men, a father, an American and an African. What am I?",NATO Phonetic Alphabet
Other,"If Air Traffic Control tells you ""Delta 135, squawk 3141"", what should you respond with?","Respond with ""Squawk 3141, Delta 135"""
Other,"In aviation, how fast is an object travelling at 1 knot going? Give your answer in terms of nautical miles per hour.",1 nautical mile per hour
Other,"In aviation, what does the squawk code 7500 mean?",Hijacking / Unlawful Interference
Other,"In aviation, what is Zulu time (e.g. 1330 Zulu)?",GMT / UTC
Other,"In computing, stocks, and timezone calculations, what does ""UTC"" stand for?",Coordinated Universal Time
Other,"In stocks, what does ""IPO"" stand for?",Initial Public Offering
Other,"In the movie <em>Mission Impossible</em>, what does ""IMF"" stand for?",Impossible Mission Force
Other,Male mosquitoes infected with this bacteria have reduced mosquito populations by up to 98 per cent. What is this bacteria?,Wolbachia
Other,"On a farm, what is a ""kid""?",A baby goat
Other,On which day do the fewest people die on (in total)?,29 February
Other,The <em>Minnesota Mining and Manufacturing Company</em> is more commonly known as what company?,3M Company
Other,"The five different tastes are sweet, sour, bitter, salty and what?",Umami
Other,What animal can be seen on the <em>Porche</em> logo?,Horse
Other,"What does ""MSG"" stand for in the context of foods?",Monosodium Glutamate
Other,"What does ""S&P"" stand for in the stock market?",Standard & Poor
Other,What geometric shape is generally used for stop signs?,Octagon
Other,What is the name of the plastic tip at the end of shoelaces?,Aglet
Other,What is the sum of opposite numbers on a normal 6-sided die?,7
Other,Where can you find <em>The Sea of Tranquility</em>?,The Moon
Other,Which gas is the primary greenhouse gas emitted through human activities?,Carbon Dioxide
Other,Which three digit code does the fictional spy James Bond go by?,007 (Double-O Seven)
Other,"Which year is commonly known as Albert Einstein ""Miracle Year"" (or <em>annus mirabilis</em>)?",1905
Other,Who created Sherlock Holmes?,(Sir) Arthur Conan Doyle
Other,Who starts first in chess?,White
Other,"With a death rate of about 9% while in office, what is often deemed the ""deadliest office job"" in the US?",US President
Physics,"""Newton per square metre"" is the SI unit for what?",Pressure
Physics,101325 Pascals is exactly equal to how many atmospheres of pressure?,1 atmosphere
Physics,Approximately how many Kelvins is room temperature?,298 Kelvin
Physics,Give the SI unit for mass.,Kilogramme (kg)
Physics,Give the temperature of absolute zero in terms of Kelvin.,0 Kelvin
Physics,How many small calories (cal) are needed to make a big calorie (Cal)?,1000 calories
Physics,"In 20 °C air, what is the speed of sound (in metres per second)?",343 m/s
Physics,"In electronics, what does ""LED"" stand for?",Light Emitting Diode
Physics,"In electronics, what does the symbol <var>I</var> stand for?",(Electric) Current
Physics,Name one of the 4 fundamental forces of the universe.,"Gravity, Electromagnetism, Strong Interaction, Weak Interaction"
Physics,Scientists hope that a <em>Theory of Everything</em> will combine which two well-established theories into one?,General Relativity and Quantum Mechanics
Physics,The equation <var>E</var> = <var>mc</var><sup>2</sup> was derived by which German physicist?,(Albert) Einstein
Physics,What does the <var>C</var> represent in the equation <var>Q</var> = <var>C</var> × <var>Δθ</var>?,Heat Capacity
Physics,"What is a ""weight suspended from a pivot so that it can swing freely"" also known as?",Pendulum
Physics,What is the antimatter equivalent of an electron?,Positron
Physics,"What is the name of the enclosure used to ""block electromagnetic fields""?",Faraday Cage/Shield
Physics,What is the name of the force that makes you fall to the ground?,Gravity
Physics,What is the process of liquid flowing in narrow spaces without assistance of external forces like gravity?,Capillary Action
Physics,What is the SI unit for electric current?,Ampere (A)
Physics,What is the SI unit for luminous intensity?,Candela (cd)
Physics,What is the speed of a car (in metres per second) that is travelling at a speed of 5 metre-Hertz?,5 metres per second
Physics,"What is the term for ""the amount of heat to be supplied to an object to produce a unit change in its temperature""?",Heat Capacity
Physics,What name is given to the science of sound?,Acoustics
Physics,What useful diagram did Richard Feynman create with regards to the field of Quantum Mechanics?,Feynman Diagrams
Physics,Which physicist is more famous for his cat than for his equation?,Erwin Schrödinger
Physics,Which renaissance scientist is credited with the discovery of the pendulum?,Galileo (Galilei)
Physics,Whose constant is used to redefine the kilogram in 2019?,"Planck's Constant, <var>h</var>"
Physics,Whose principle states that the upward force exerted on a body is equal to the weight of the fluid that the body displaces?,Archimedes
Physics,"Whose right-hand rule ""shows the direction of induced current"" when a conductor moves in a magnetic field?",(Sir Alexander) Fleming
Physics,"Whose third law of motion states that ""every action has an equal and opposite reaction""?",(Sir Issac) Newton
Sports,"""Dump"", ""floater"", and ""wipe"" are terms used in which team sport?",Volleyball
Sports,Fill in the blank: a yellow card in soccer is also known as a _______ card.,Penalty
Sports,How long is an Olympic swimming pool (in metres)?,50 metres
Sports,How many holes are played in an average round of golf?,18 holes
Sports,"In baseball, the ""first bat advantage"" is given to which team?",The Visiting Team
Sports,"In bowling, what does it mean when a bowler gets a ""turkey""?",3 strikes in a row
Sports,"In F1 racing, what does F1 stand for?",Formula One
Sports,"In Pool, which number is the yellow ball?",1
Sports,"In professional basketball, how high is the basketball hoop from the ground (in feet)?",10 feet
Sports,"In soccer, what body part can’t touch the ball?",Hands
Sports,"In tennis, a score of ""love"" means what?",0 points
Sports,Roger Federer is a Swiss athlete of which sport?,Tennis
Sports,The 2028 Olympics is scheduled to be held in which city?,Los Angeles
Sports,"The cycling event ""Team Pursuit"" in the Olympics sees four riders cover a distance of how many kilometres?",4 kilometres
Sports,"The Olympic triathlon consists of running, cycling, and what?",Swimming
Sports,The Olympics are held every how many years?,4 years
Sports,"The sport ""futsal"" is derived from which popular sport?",Football / Soccer
Sports,What colour is the bullseye (10 point ring) in an official FITA (World Archery Federation) target board?,Yellow / Gold
Sports,What country has competed the most times in the Summer Olympics without winning a gold medal?,The Philippines
Sports,"What does ""SEA"" in ""SEA Games"" stand for?",Southeast Asian
Sports,What is the <em>de jure</em> national sport of South Korea?,Taekwondo
Sports,What is the Olympic silver medal actually made from?,Silver
Sports,"What number sits to the right of the number ""20"" on a standard dartboard?",1
Sports,"What sport is sometimes called ""the king of sports""?",Football / Soccer
Sports,"What stroke in swimming is sometimes also known as ""frog stroke""?",Breaststroke
Sports,What type of race is the <em>Tour de France</em>?,Bicycle Race
Sports,"Which color card means a ""send-off"" in soccer?",Red
Sports,Which country is credited for creating the Olympic games?,Greece
Sports,"Which sport uses a ""club"" and a dimpled ball?",Golf
Sports,"Which sport uses a ""net"", a ""racket"", and a ""shuttlecock""?",Badminton
Technology,"""Clustered regularly interspaced short palindromic repeats"" is a gene editing technology. What is its more common name?",CRISPR
Technology,"Fill in the blank: the ASCII encoding standard is the ""American Standard Code for ___________ ___________"".",Information Interchange
Technology,"Fill in the blanks: the initialism ""VoIP"" stands for ""_____ ____ Internet Protocol"".",Voice Over
Technology,"In a computer, what does ""BIOS"" stand for?",Basic Input/Output System
Technology,"In a computer, what does ""CPU"" stand for?",Central Processing Unit
Technology,"In machine learning, what does ""CNN"" stand for?",Convolutional Neural Networks
Technology,"In programming, what does ""IDE"" stand for?",Integrated Development Environment
Technology,"In the car industry, what do the initials ""BMW"" stand for?",Bavarian Motor Works
Technology,"In the Unicode encoding scheme, ""LATIN CAPITAL LETTER A"" has what <b>hexadecimal</b> code?","Hexadecimal code ""41"""
Technology,"On a QWERTY keyboard, what is the first letter on the keyboard?",Q
Technology,"On average, how many gigabytes of RAM does a modern computer have?",8 Gigabytes
Technology,PCR is a method widely used to rapidly make many copies of a specific DNA sample. What does PCR stand for?,Polymerase Chain Reaction
Technology,The cryptocurrency <em>Bitcoin</em> uses what technology?,Blockchain
Technology,The Microsoft equivalent of Apple's <em>Keynote</em> is what?,PowerPoint
Technology,True or false: every non-negative integer can be displayed on seven-segment display(s).,True
Technology,What company did the founders of <em>YouTube</em> work for before starting <em>YouTube</em>?,PayPal
Technology,What did Steve Jobs reveal at Apple's <em>MacWorld</em> conference on 9 January 2007?,The iPhone
Technology,"What does ""DSLR"" stand for in a ""DSLR Camera""?",Digital Single-Lens Reflex
Technology,"What does ""GPS"" stand for?",Global Positioning System
Technology,"What does ""MAN"" stand for in networking?",Metropolitan Area Network
Technology,"What does ""NFT"" stand for?",Non-Fungible Token
Technology,"What does ""www"" stand for in a website browser?",World Wide Web
Technology,What does URL stand for?,Uniform Resource Locator
Technology,"What is a ""GPU"" in a computer?",Graphics Processing Unit
Technology,"What is the technical name for ""a computer program that runs as a background process""?",Daemon
Technology,What year did the first Apple iPhone launch?,2007
Technology,Which is the <b>only</b> vowel on a standard keyboard that is not on the top line of letters?,A
Technology,Which organisation is responsible for managing Internet Protocol (IP) address space allocation?,ICANN
Technology,Which year was Windows 95 released?,1995
Technology,Who invented the World Wide Web in England?,Sir Timothy John Berners-Lee / Tim Berners-Lee
Trial Questions,A scientist who studies rocks is called a what?,Geologist
Trial Questions,How many colors are in a rainbow?,7
Trial Questions,How many legs does a spider have?,8
Trial Questions,How many planets are in our solar system?,8
Trial Questions,How many reindeer does Santa have?,8
Trial Questions,How many sides does a triangle have?,3
Trial Questions,How many signs are there in the Zodiac?,12
Trial Questions,"If you freeze water, what do you get?",Ice
Trial Questions,"If you suffer from arachnophobia, which animal are you scared of?",Spider
Trial Questions,In which capital city of Europe would you find the Eiffel Tower?,Paris
Trial Questions,In which ocean is the Bermuda Triangle located?,Atlantic Ocean
Trial Questions,On which holiday do you go trick-or-treating?,Where is the Great Pyramid of Giza?
Trial Questions,"What are the two planets in our solar system begin with the letter ""M""?",Mercury and Mars
Trial Questions,What do you call a geometric shape with 5 sides?,Pentagon
Trial Questions,What do you use to write on a blackboard?,Chalk
Trial Questions,What do you use to write on a whiteboard?,Markers
Trial Questions,What food do pandas eat?,Bamboo
Trial Questions,"What group of animals is known as a ""flamboyance""?",Flamingos
Trial Questions,What is 1 + 2 + 3 + ... + 10?,55
Trial Questions,What is a brontosaurus?,A dinosaur
Trial Questions,What is a doe?,Female Deer
Trial Questions,What is Harry Houdini known for?,Magic
Trial Questions,What is the color of an emerald?,Green
Trial Questions,What is the distance of a 100 metre race?,100 metres
Trial Questions,"What is the opposite of ""cheap""?",Expensive
Trial Questions,What is the rarest blood type?,AB-
Trial Questions,What temperature (in Celsius) does water freeze at?,0 °C
Trial Questions,What temperature (in Fahrenheit) does water freeze at?,32 °F
Trial Questions,Where does Santa Claus live?,The North Pole
Trial Questions,Where is the Great Barrier Reef located?,Australia
Trial Questions,Which city hosted the Summer Olympics in 2012?,"London, England"
Trial Questions,Which country is home to the kangaroo?,Australia
Trial Questions,Who built the pyramids?,The Egyptians
Trial Questions,Who painted the Mona Lisa?,Leonardo DaVinci
Trial Questions,Who wrote <em>Hamlet</em>?,William Shakespeare
